zkratka,katedra,rok,nazev,nazevDlouhy,maVyuku,vyukaZS,vyukaLS,jakCastoJeNabizen,jakCastoJeNabizenUpresneni,kreditu,viceZapis,minObsazeni,garanti,garantiSPodily,garantiUcitIdno,prednasejici,prednasejiciSPodily,prednasejiciUcitIdno,cvicici,cviciciSPodily,cviciciUcitIdno,seminarici,seminariciSPodily,seminariciUcitIdno,schvalujiciUznani,schvalujiciUznaniUcitIdno,examinatori,examinatoriUcitIdno,podminujiciPredmety,vylucujiciPredmety,podminujePredmety,literatura,nahrazPredmety,metodyVyucovaci,metodyHodnotici,akreditovan,jednotekPrednasek,jednotkaPrednasky,jednotekCviceni,jednotkaCviceni,jednotekSeminare,jednotkaSeminare,anotace,typZkousky,maZapocetPredZk,formaZkousky,pozadavky,prehledLatky,predpoklady,ziskaneZpusobilosti,casovaNarocnost,predmetUrl,vyucovaciJazyky,poznamka,ectsZobrazit,ectsAkreditace,ectsNabizetUPrijezdu,poznamkaVerejna,skupinaAkreditace,skupinaAkreditaceKey,zarazenDoPrezencnihoStudia,zarazenDoKombinovanehoStudia,studijniOpory,praxePocetDnu,urovenNastavena,urovenVypoctena,automatickyUznavatZppZk,hodZaSemKombForma,semestr,pocetStudentu,aMax,bMax,cMax,aSkut,bSkut,cSkut
PS2,KI,2024,Project Seminar II,"Project Seminar II
",A,N,A,K,"",5,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","",KI/PS1,"","","","","","",N,0,HOD/TYD,0,HOD/TYD,18,HOD/SEM,"",Exam,YES,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,LS,0,"","","",0,0,0
SOC,KI,2024,Soft Computing,Soft Computing,A,N,A,K,"",5,NO,"","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'",2239,"'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'RNDr. Petr Kubera, Ph.D.' (100), 'doc. RNDr. Mgr. Viktor Maškov, DrSc.' (100)","650, 2239","'prof. Sergii Babichev, DSc.', 'Ing. Mgr. Pavel Beránek', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'Ing. Mgr. Pavel Beránek' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 6973, 650, 2220","","","","","","","",KI/PYR,"",KI/MNS,"","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Předmět je zaměřen na vybrané partie z oblasti Soft Computingu, jakou jsou fuzzy logika a vybrané modely strojového učení (rozhodovací stromy, support vector machines, neuronové sítě a Bayesovské sítě). Poskytuje jak teoretický úvod potřebný pro předměty navazující a rozvíjející, tak i praktické seznámení s aktuálně používanými frameworky a knihovnami (Python). Přednášky jsou zaměřeny na teoretický rozbor problematiky s ohledem na možnosti aplikace. Cvičení jsou zaměřena jak na vlastní návrh a implementaci algoritmů, tak na předání praktických zkušeností při použití softwarových nástrojů.",Exam,YES,Combined,"Zápočet: tvorba a obhájení seminární práce na zadané téma
Zkouška: ústní, zaměřená na ověření teoretických znalostí
","1. Overview of machine learning tasks: classification, regression, prediction and areas of application
2. Decision trees: constructions, metrics
3. - 4. Support vector method (SVM): formulation, soft margin, solution, use of cores, core trick, multiclass classification
5. Introduction to neural networks: types of networks and their architecture, types of learning
6. - 7. Multilayer perceptron (MLP) networks: perceptron, activation functions and their types, layers and learning, relearning, regularization
8. Reinforcement learning: use and overview of algorithms with a focus on Q-learning
9. Metaalgorithms of machine learning: grouping of weak classifiers, random forests, boost, AdaBoost
10. Fuzzy set: introduction, properties (value range, height, carrier, core), sections, affiliation
11. Fuzzy sets and their extensions: overview of set and propositional operations and their properties, fuzzy numbers and fuzzy relations
12. Application of fuzzy logic: process of fuzzification and defuzzification, linguistic variables
13. Bayesian statistics: definition of basic terms (distribution, a priori, posterior), Bayesian theorem and its use
14. Bayesian networks (BN): graph representation, model probability distribution (string rule), overview of BN learning algorithms


","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,LS,0,"","","",0,0,0
SP2,KI,2024,Semester Project II,Semester Project II,A,N,A,K,"",6,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.'",3521,"","","","","","","'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'Mgr. Jiří Fišer, Ph.D.' (100), 'RNDr. Jan Krejčí, Ph.D.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","449, 251, 2776, 650, 3521, 2220","","","","","KI/KSP1, KI/SP1","",KI/SP3,"","","","",N,0,HOD/TYD,0,HOD/TYD,4,HOD/TYD,"",Pre-Exam Credit,NO,Combined,"Účast na projektových schůzkách s prezentací dílčích výstupů a plánů dalšího postupu, průběžné plnění zadaných úkolů
Zápočet uděluje řešitel projektu.
","Předmět tvoří prostřední člen v řadě tří celosemestrálních projektově orientovaných předmětů (Semestrální projekt I až III). 
V této fázi se výuka soustřeďuje na následující činnosti:
-	samostatné řešení dílčích projektových úkolů,
-	průběžné testování a kontrola řešení,
-	průběžné vytváření a správa dokumentace,
-	využívání komunikačních a VCS systémů pro sdílení informací uvnitř týmu,
-	organizace týmových meetingů s prezentací dílčích výstupů a plánů dalšího postupu.

Studenti budou ve všech těchto činnostech podporováni odborníky z praxe a/nebo akademickými pracovníky. Cílem dílčích úkolů je jednak motivovat studenty k hlubšímu studiu a pochopení dané problematiky, jednak je více začlenit do přípravy zejména aplikačních výstupů. Prezentací dílčích výstupů svým kolegům z týmu studenti procvičí komunikační schopnosti a dovednosti, jako je předávání informací v ucelené formě. V rámci seminářů bude rozebírán stav a vývoj projektu (kontrola a revize stanoveného věcného plánu a časového harmonogramu).
","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,LS,0,"","","",0,0,0
XBP,KI,2024,Bachelor Thesis,Bachelor Thesis,A,A,A,K,"",8,NO,"","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'doc. RNDr. Mgr. Viktor Maškov, DrSc.' (100)",2239,"","","","","","","","","","","","'prof. Sergii Babichev, DSc.', 'Mgr. Kamil Balín', 'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Ing. Mgr. Pavel Beránek', 'Mgr. Jiří Fišer, Ph.D.', 'Ing. Petr Haberzettl', 'RNDr. Jan Krejčí, Ph.D.', 'Ing. Pavel Kuba, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3416, 1165, 449, 6973, 251, 1780, 2776, 2317, 650, 2239, 3521, 267, 835, 6259, 2220","",KI/BP,"","","","","",N,0,HOD/TYD,0,HOD/TYD,0,HOD/TYD,Credits are awarded by thesis supervisor (if she or he is internal) or consultant when the bachelor thesis is ready for defense.,Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,A,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
ZEK,KI,2024,Fundamentals of Economics,Fundamentals of Economics,A,N,A,K,"",2,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","",KMA/MME,"'KRAFT, Jiří, Pavla BEDNÁŘOVÁ a Aleš KOCOUREK. Ekonomie I. Technická univerzita v Liberci, 2013. ISBN 978-80-7372-998-1.',
'HOLMAN, Robert. Ekonomie. 5. vyd. Praha: C.H.Beck, 2011. ISBN 978-80-7400-006-5.',
'Povolná, L. Obecná ekonomie. UJEP, Ústí nad Labem, 2013. ',
'Český statistický úřad. ',
'Holman, R. Ekonomie: Sbírka řešených otázek a příkladů. Praha: C. H. Beck, 2016, ISBN 978-80-7400-615-9. 2016. ',
'Simotová, V. Makroekonomie. ',
'Šetek, D. Mikro a makroekonomie pro všechny. ',
'Simotová, V. Mikroekonomie. '","","","",N,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,"In basic economics course for non-economic disciplines, students learn the basic concepts, approaches and paradigms of mainstream economics as well as marginally of behavioral economics with the main objective to know how to apply this knowledge in both professional practice and personal life. ",Pre-Exam Credit,NO,Combined,"At least 50 points are needed. It is possible to get
- 25 points for active participation in lectures during the discussion blocks
- 10 points for the five-minute presentation
- 25 points for demonstration of the knowledge of graphs (under examination)
- 20 points for demonstration of the knowledge of important concepts and terms (under examination)
- 20 points from tests (one of micro- and one of macro-economics) with calculating
","A - Introduction to economics
B - Microeconomics
1. market mechanism: supply and demand, market equilibrium
2. consumer behaviour: cardinal and ordinal utility theory
3. firm behavior: cost analysis in the short and long term
4. factors of production: labor market, capital market
C - Macroeconomics
1. macroeconomic pentagon: economic growth, price stability, high employment, balanced public budgets, balance of trade
2. performance of the economy and its changes: indicators (gross / net domestic / national product) and methods of measurement, economic cycle
3. money, currency, price stability
4. analysis of (un) employment: classification, characteristics, consequences of unemployment
5. fiscal policy: tools and targets, the state budget (its function, structure, classification), taxes (tax systems, Laffer curve)
6. balance of payments and its structure
D - Selected findings of behavioral economics ","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
ZZD,KI,2024,Fundamentals of Data Processing,Fundamentals of Data Processing,A,N,A,K,"",2,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'Mgr. Květuše Sýkorová' (100), 'RNDr. Jiří Škvára, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","449, 835, 6259, 2220","","","","","","","KMA/AVD1, KMA/AVD2","'Laurenčík, M. Excel 2016 ? Práce s databázemi a kontingenčními tabulkami. Grada Publishing, Praha, 2017. ISBN 978-80-251-4838-9.',
'Barilla, J., Simr, P., Sýkorová, K. Microsoft Excel 2016: podrobná uživatelská příručka. Computer Press, Brno, 2016. ISBN 978-80-251-4838-9.',
'Navarrů, M. Excel 2016 ? Podrobný průvodce uživatele. Grada Publishing, Praha. ISBN 978-80-271-0193-1.'","","","",N,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,"V předmětu se studenti na mírně pokročilejší úrovni naučí prakticky využívat tabulkový procesor (dále Excel) a specializovaný programovací jazyk (dále R) pro účely zpracování dat, jejich analýzy a vizualizace. Student se naučí používat různé možnosti těchto specializovaných nástrojů, dle zadání úlohy volit vhodné metody, výsledky správně interpretovat a vytvořit report.",Pre-Exam Credit,NO,Combined,Practical test (solving given problems on the computer in the computer laboratory),"1. Excel: podmíněné formátování, logické funkce a filtrování dat
2. Excel: vytváření souhrnů a skupin, vyhledávací a databázové funkce
3. Excel: kontingenční tabulky a grafy
4. Excel: základní statistické výpočty
5. Excel: vytváření a úprava maker
6. R: instalace, prostředí, ovládání, syntaxe, balíčky, základní datové typy a datové struktury, proměnné, základní operace, příkazy a funkce
7. R: načítání a ukládání dat, psaní vlastních funkcí a skriptů, cykly a podmíněné příkazy
8. R: manipulace s daty a datovými soubory (různé úpravy a transformace, slučování, řazení, filtrování, kontingenční tabulky apod.)
9. R: základní statistické funkce (popisná statistika, funkce nad různými statistickými rozděleními - generování náhodných čísel apod.)
10. R: grafické výstupy (základní a pokročilé typy grafů)
11. R+LaTeX: tvorba reprodukovatelných reportů (lehký úvod do LaTeXu a využití balíčku knitr)
12. - 13. R: praktické motivační ukázky využití pokročilých statistických metod (např. z oblasti statistického testování hypotéz, regresní analýzy, faktorové analýzy, shlukové analýzy, diskriminační analýzy nebo analýzy časových řad)
","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,LS,0,"","","",0,0,0
0185,KI,2024,Summary Seminar,Summary Seminar,A,N,A,K,"",1,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'Ing. Pavel Kuba, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'Mgr. Jiří Fišer, Ph.D.' (100), 'RNDr. Jan Krejčí, Ph.D.' (100), 'Ing. Pavel Kuba, Ph.D.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'PhDr. Jiří Přibyl, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","449, 251, 2776, 2317, 650, 267, 2220","","","","","","","","","","","",A,0,HOD/TYD,0,HOD/TYD,2,HOD/TYD,The aim of this course is to summarize and integrate the knowledge gained during study of different IT disciplines. This is accomplished by a discussion on specific topics to which students prepare presentation/questions.,Pre-Exam Credit,NO,Combined,"Active participation, presentation of selected topics","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
0192,KI,2024,Computational Geometry,Computational Geometry,A,A,A,K,"",2,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","","","","","","","","",A,1,HOD/TYD,1,HOD/TYD,0,HOD/TYD,The course focuses on selected algorithms of computational geometry and their practical applications.,Pre-Exam Credit,NO,Combined,20-minute presentation of selected algorithm,"1.	Convex hull
2.	Triangulation
3.	Voronoi diagram
4.	Nearest neighbor search
5.	Range search
6.	Point location
7.	Line segment intersection
8.	Polygon intersection detection
9.	Polygon partitioning
10.	Simplifying polygons
11.	BSP tree and quadtree
12.	Finding the shortest route
13.	Minkowski sum
","","","","",Czech,"",A,N,N,"","","",A,A,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
IVF1,KFY,2024,Informatics in Physics I,Informatics in Physics I,A,A,A,K,"",3,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100)",3521,"'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","","","","","","","","","",KFY/IVF2,"'Dušek F. Matlab a Simulink-úvod do používání. Univerzita Pardubice, 2002. ISBN 80-7194-475-0. ',
'Zaplatílek K., Doňar B. Matlab pro začátečníky. BEN-Technická literatura, Praha, 2003. ISBN 80-7300-095-4. ',
'Hlavač V., Sedláček M. Zpracování signálů a obrazů. Praha: ČVUT, 2007. ISBN 978-80-01-03110-0. ',
'Hrach R. Počítačová fyzika I. Ústí nad Labem, 2003. ISBN 80-7044-521-1.',
'Hrach R. Počítačová fyzika II. Ústí nad Labem, 2003. ISBN 80-7044-522-X.'","","","",N,1,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Basic methods, Monte Carlo or molecular dynamics, are introduced during the course together with concept of computer modeling itself. Students will apply knowledge gained in informatics to solve typical problems from area of computer physics and modeling.
",Pre-Exam Credit,NO,Combined,"","1.Course basic info, rules and conditions, introduction ot computer physics and modeling
2.Random number generators, tests and implementation
3.Stochastic modeling  Monte Carlo method. Introduction and solutions of typical tasks.
4.Stochastic modeling. Ising and Harddisk models.
5.Implementation of stochastic modeling.
6.Deterministic modeling. Molecular dynamics and its numerical silutions.
7.Deterministic model of motion, collisions and adding the influence of environment conditions.
8.Many body problem  implementation of molecular dynamics.
9.Continuous modeling  solution of ordinary differential equations.
10.Continuous model evolution of population, solution with accessible software (Matlab, Maple)
11.Computer geometry, cluster analysis and percolation theory for system analysis.
12.Analysis of results from  stochastic, deterministic or continuous modeling with selected methods from system analysis",Výhodou je absolvování některého z kurzů programování nebo předmětu KI/MAI Matematika pro informatiky.,"","","",Czech,"",A,N,N,"","","",N,N,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
IVF2,KFY,2024,Informatics in Physics II,Informatics in Physics II,A,A,A,K,"",3,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100)",3521,"'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","","","","","","","",KFY/IVF1,"","","","","","",N,1,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Jde o pokračování kurzu Informatika ve fyzice I. Druhá část se zaměřuje na modelování složitějších fyzikálních systémů (víceatomární plyn a kapalina, jednoduchý krystal) a na nejjednodušší metody simulací systémů částic působících na sebe vzájemně elektrostatickými silami.

Tento kurz byl inovován v rámci projektu CZ.1.07/2.2.00/28.0296 ""Mezioborové vazby a podpora praxe v přírodovědných a technických studijních programech UJEP""",Pre-Exam Credit,NO,Combined,"","",Splnění kurzu Informatika ve fyzice I.,"","","",Czech,"",A,N,N,"","","",N,N,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
IVF1,KFY,2024,Informatics in Physics I,Informatics in Physics I,A,A,A,K,"",3,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100)",3521,"'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","","","","","","","","","",KFY/IVF2,"'Dušek F. Matlab a Simulink-úvod do používání. Univerzita Pardubice, 2002. ISBN 80-7194-475-0. ',
'Zaplatílek K., Doňar B. Matlab pro začátečníky. BEN-Technická literatura, Praha, 2003. ISBN 80-7300-095-4. ',
'Hlavač V., Sedláček M. Zpracování signálů a obrazů. Praha: ČVUT, 2007. ISBN 978-80-01-03110-0. ',
'Hrach R. Počítačová fyzika I. Ústí nad Labem, 2003. ISBN 80-7044-521-1.',
'Hrach R. Počítačová fyzika II. Ústí nad Labem, 2003. ISBN 80-7044-522-X.'","","","",N,1,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Basic methods, Monte Carlo or molecular dynamics, are introduced during the course together with concept of computer modeling itself. Students will apply knowledge gained in informatics to solve typical problems from area of computer physics and modeling.
",Pre-Exam Credit,NO,Combined,"","1.Course basic info, rules and conditions, introduction ot computer physics and modeling
2.Random number generators, tests and implementation
3.Stochastic modeling  Monte Carlo method. Introduction and solutions of typical tasks.
4.Stochastic modeling. Ising and Harddisk models.
5.Implementation of stochastic modeling.
6.Deterministic modeling. Molecular dynamics and its numerical silutions.
7.Deterministic model of motion, collisions and adding the influence of environment conditions.
8.Many body problem  implementation of molecular dynamics.
9.Continuous modeling  solution of ordinary differential equations.
10.Continuous model evolution of population, solution with accessible software (Matlab, Maple)
11.Computer geometry, cluster analysis and percolation theory for system analysis.
12.Analysis of results from  stochastic, deterministic or continuous modeling with selected methods from system analysis",Výhodou je absolvování některého z kurzů programování nebo předmětu KI/MAI Matematika pro informatiky.,"","","",Czech,"",A,N,N,"","","",N,N,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
IVF2,KFY,2024,Informatics in Physics II,Informatics in Physics II,A,A,A,K,"",3,NO,"","'doc. RNDr. Zbyšek Posel, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100)",3521,"'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 2220","","","","","","","",KFY/IVF1,"","","","","","",N,1,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"Jde o pokračování kurzu Informatika ve fyzice I. Druhá část se zaměřuje na modelování složitějších fyzikálních systémů (víceatomární plyn a kapalina, jednoduchý krystal) a na nejjednodušší metody simulací systémů částic působících na sebe vzájemně elektrostatickými silami.

Tento kurz byl inovován v rámci projektu CZ.1.07/2.2.00/28.0296 ""Mezioborové vazby a podpora praxe v přírodovědných a technických studijních programech UJEP""",Pre-Exam Credit,NO,Combined,"","",Splnění kurzu Informatika ve fyzice I.,"","","",Czech,"",A,N,N,"","","",N,N,"",0,"",Bc.,A,"",LS,0,"","","",0,0,0
BP,KMA,2024,Bachelor Thesis,Bachelor Thesis,A,A,A,K,"",19,NO,"","'RNDr. Martin Kuřil, Ph.D.'","'RNDr. Martin Kuřil, Ph.D.'",264,"","","","","","","","","","","","","","","","","","","","",N,0,HOD/TYD,0,HOD/TYD,0,HOD/TYD,"",Pre-Exam Credit,NO,Combined,"","","","","","","","",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
PS1,KMA,2024,Project Seminar I,Project Seminar I,A,A,A,K,"",3,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","",KMA/PS2,"","","","",A,0,HOD/TYD,0,HOD/TYD,20,HOD/SEM,"Within the course, students are involved in a large-scale project or several smaller-scale projects. The project objectives result from internal needs or interests of the institution or from cooperation with companies or public administration (contract/applied research projects). Students participate in the solution as members of project teams, developing their teamwork, communication, presentation and organizational competences. Projects typically focus on data processing, analysis and visualization or on mathematical modeling and simulation.",Pre-Exam Credit,NO,Combined,"participation in project meetings with presentation of interim results and plans for further work, continuous performance of tasks","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
PS2,KMA,2024,Project Seminar II,Project Seminar II,A,A,A,K,"",3,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","",KMA/PS1,"",KMA/PS3,"","","","",A,0,HOD/TYD,0,HOD/TYD,20,HOD/SEM,"V rámci předmětu se studenti zapojují do řešení projektu většího rozsahu, či více projektů menšího rozsahu. Zadání řešených projektů vyplývají z interních potřeb či zájmů pracoviště či ze spolupráce s firmami či veřejnou správou (projekty smluvního výzkumu a výzkumné projekty aplikačního charakteru). Studenti se na řešení podílejí jako členové projektových týmů, přičemž rozvíjejí své týmové, komunikační, prezentační a organizační kompetence. Typická zaměření projektů z pohledu použitých metod jsou z oblasti zpracování, analýzy a vizualizace dat či z oblasti matematického modelování a simulací",Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
PS3,KMA,2024,Project Seminar III,Project Seminar III,A,A,A,K,"",3,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","",KMA/PS2,"",KMA/PS4,"","","","",A,0,HOD/TYD,0,HOD/TYD,20,HOD/SEM,"V rámci předmětu se studenti zapojují do řešení projektu většího rozsahu, či více projektů menšího rozsahu. Zadání řešených projektů vyplývají z interních potřeb či zájmů pracoviště či ze spolupráce s firmami či veřejnou správou (projekty smluvního výzkumu a výzkumné projekty aplikačního charakteru). Studenti se na řešení podílejí jako členové projektových týmů, přičemž rozvíjejí své týmové, komunikační, prezentační a organizační kompetence. Typická zaměření projektů z pohledu použitých metod jsou z oblasti zpracování, analýzy a vizualizace dat či z oblasti matematického modelování a simulací",Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
PS4,KMA,2024,Project Seminar IV,Project Seminar IV,A,A,A,K,"",3,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.'",2220,"","","","","","","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","",KMA/PS3,"","","","","","",A,0,HOD/TYD,0,HOD/TYD,20,HOD/SEM,"V rámci předmětu se studenti zapojují do řešení projektu většího rozsahu, či více projektů menšího rozsahu. Zadání řešených projektů vyplývají z interních potřeb či zájmů pracoviště či ze spolupráce s firmami či veřejnou správou (projekty smluvního výzkumu a výzkumné projekty aplikačního charakteru). Studenti se na řešení podílejí jako členové projektových týmů, přičemž rozvíjejí své týmové, komunikační, prezentační a organizační kompetence. Typická zaměření projektů z pohledu použitých metod jsou z oblasti zpracování, analýzy a vizualizace dat či z oblasti matematického modelování a simulací",Pre-Exam Credit,NO,Combined,"účast na projektových schůzkách s prezentací dílčích výstupů a plánů dalšího postupu, průběžné plnění zadaných úkolů","","","","","",Czech,"",A,N,N,"","","",N,N,"",0,"","",A,0,ZS,0,"","","",0,0,0
